Spectrum 	 Iteration 
   1 	 	    1 
   2 	 	   10 
   3 	 	    8 
   4 	 	    9 
   5 	 	   10 
   6 	 	    4 
   7 	 	    7 
   8 	 	    5 
   9 	 	    1 
  10 	 	    7 
  11 	 	    8 
  12 	 	    8 
  13 	 	    8 
  14 	 	    6 
  15 	 	    3 
  16 	 	    7 
  17 	 	    6 
  18 	 	    2 
  19 	 	    6 
  20 	 	    8 
  21 	 	    8 
  22 	 	    1 
  23 	 	    6 
  24 	 	    8 
  25 	 	    2 
  26 	 	    1 
  27 	 	   10 
  28 	 	    8 
  29 	 	    5 
  30 	 	    9 
  31 	 	    2 
  32 	 	    6 
  33 	 	    7 
  34 	 	    6 
  35 	 	    2 
  36 	 	    5 
  37 	 	    3 
  38 	 	   10 
  39 	 	    7 
  40 	 	    1 
  41 	 	    2 
  42 	 	    1 
  43 	 	   10 
  44 	 	    8 
  45 	 	    2 
  46 	 	    5 
  47 	 	    2 
  48 	 	    2 
  49 	 	    4 
  50 	 	    6 
  51 	 	    2 
  52 	 	   10 
  53 	 	    9 
  54 	 	    7 
  55 	 	    4 
  56 	 	    8 
  57 	 	    8 
  58 	 	    9 
  59 	 	    7 
  60 	 	    8 
  61 	 	    9 
  62 	 	    9 
  63 	 	    9 
  64 	 	    1 
  65 	 	    3 
  66 	 	    3 
  67 	 	    8 
  68 	 	    5 
